country_iso3,country_name,date,country_no2_index,n_cities_total,n_cities_with_value,average_data_coverage
PHL,Philippines,2022-03-14,1.4033492093374873e-5,21,21,0.26455026455026454
PHL,Philippines,2022-03-15,1.419951746970284e-5,21,21,0.40296296296296297
PHL,Philippines,2022-03-16,1.4232102752262501e-5,21,21,0.40804232804232804
PHL,Philippines,2022-03-17,1.451608464216203e-5,21,21,0.40825396825396826
PHL,Philippines,2022-03-18,1.44859174534136e-5,21,21,0.5297354497354497
PHL,Philippines,2022-03-19,1.4570694597543078e-5,21,21,0.45481481481481484
PHL,Philippines,2022-03-20,1.4565957132606133e-5,21,21,0.41015873015873017
PHL,Philippines,2022-03-21,1.4570169929612614e-5,21,21,0.23407407407407407
PHL,Philippines,2022-03-22,1.4704605633348681e-5,21,21,0.6008465608465609
PHL,Philippines,2022-03-23,1.477457710773254e-5,21,21,0.37333333333333335
PHL,Philippines,2022-03-24,1.472834139741027e-5,21,21,0.4819047619047619
PHL,Philippines,2022-03-25,1.4899872505810935e-5,21,21,0.38455026455026453
PHL,Philippines,2022-03-26,1.4878517331543667e-5,21,21,0.5081481481481481
PHL,Philippines,2022-03-27,1.4869105838584527e-5,21,21,0.28444444444444444
PHL,Philippines,2022-03-28,1.4940115335955014e-5,21,21,0.23619047619047617
PHL,Philippines,2022-03-29,1.476871545594928e-5,21,21,0.4596825396825397
PHL,Philippines,2022-03-30,1.4721680972088035e-5,21,21,0.6378835978835978
PHL,Philippines,2022-03-31,1.4749933299439424e-5,21,21,0.5847619047619048
PHL,Philippines,2022-04-01,1.4650615356239275e-5,21,21,0.39301587301587304
PHL,Philippines,2022-04-02,1.459626817205137e-5,21,21,0.3906878306878307
PHL,Philippines,2022-04-03,1.4386028628838142e-5,21,21,0.43132275132275133
PHL,Philippines,2022-04-04,1.4086587568301285e-5,21,21,0.3466666666666666
PHL,Philippines,2022-04-05,1.406832673360597e-5,21,21,0
PHL,Philippines,2022-04-06,1.387344535458357e-5,21,21,0.07365079365079365
PHL,Philippines,2022-04-07,1.3764485896937336e-5,21,21,0.04698412698412698
PHL,Philippines,2022-04-08,1.3754995583297861e-5,21,21,0.13608465608465609
PHL,Philippines,2022-04-09,1.3491671415561219e-5,21,21,0.09862433862433863
PHL,Philippines,2022-04-10,1.3352700434476008e-5,21,21,0.030476190476190473
PHL,Philippines,2022-04-11,1.3389966147384637e-5,21,21,0.091005291005291
PHL,Philippines,2022-04-12,1.3299680233221392e-5,21,21,0.09227513227513227
PHL,Philippines,2022-04-13,1.3250453468285759e-5,21,21,0.16994708994708996
PHL,Philippines,2022-04-14,1.3153611429341503e-5,21,21,0.45396825396825397
PHL,Philippines,2022-04-15,1.3236176345645055e-5,21,21,0.5106878306878306
PHL,Philippines,2022-04-16,1.3293240521387063e-5,21,21,0.4093121693121693
PHL,Philippines,2022-04-17,1.336026379638992e-5,21,21,0.28444444444444444
PHL,Philippines,2022-04-18,1.3404320988840004e-5,21,21,0.5475132275132275
PHL,Philippines,2022-04-19,1.3179214884363477e-5,21,21,0.411005291005291
PHL,Philippines,2022-04-20,1.3141979848486884e-5,21,21,0.3682539682539683
PHL,Philippines,2022-04-21,1.3117242477725785e-5,21,21,0.4783068783068783
PHL,Philippines,2022-04-22,1.2799214163286569e-5,21,21,0.49333333333333335
PHL,Philippines,2022-04-23,1.2761897418892759e-5,21,21,0.4965079365079365
PHL,Philippines,2022-04-24,1.28252191172073e-5,21,21,0.48698412698412696
PHL,Philippines,2022-04-25,1.2781955451546546e-5,21,21,0.3362962962962963
PHL,Philippines,2022-04-26,1.3006888526081177e-5,21,21,0.17312169312169312
PHL,Philippines,2022-04-27,1.3196722021501429e-5,21,21,0.33756613756613757
PHL,Philippines,2022-04-28,1.336167217647806e-5,21,21,0.34476190476190477
PHL,Philippines,2022-04-29,1.3469220611523201e-5,21,21,0.38645502645502644
PHL,Philippines,2022-04-30,1.3690074271995532e-5,21,21,0.206984126984127
PHL,Philippines,2022-05-01,1.4025260893758119e-5,21,21,0.49693121693121695
PHL,Philippines,2022-05-02,1.4462398675987802e-5,21,21,0.466031746031746
PHL,Philippines,2022-05-03,1.45436798070814e-5,21,21,0.39365079365079364
PHL,Philippines,2022-05-04,1.475378599199013e-5,21,21,0.43216931216931215
PHL,Philippines,2022-05-05,1.4795013613935637e-5,21,21,0.38116402116402115
PHL,Philippines,2022-05-06,1.4931129551406737e-5,21,21,0.6755555555555556
PHL,Philippines,2022-05-07,1.5030834183517001e-5,21,21,0.5566137566137566
PHL,Philippines,2022-05-08,1.4914203805467028e-5,21,21,0.5299470899470899
PHL,Philippines,2022-05-09,1.465231416517487e-5,21,21,0.38666666666666666
PHL,Philippines,2022-05-10,1.4564920426117435e-5,21,21,0.4586243386243386
PHL,Philippines,2022-05-11,1.4496727672023377e-5,21,21,0.34476190476190477
PHL,Philippines,2022-05-12,1.456810772602717e-5,21,21,0.5178835978835978
PHL,Philippines,2022-05-13,1.468193985866564e-5,21,21,0.41439153439153437
PHL,Philippines,2022-05-14,1.4773014135192873e-5,21,21,0.37862433862433864
